Year,Month,good,moderate
2011,1,8.0,0.0
2011,2,8.0,0.0
2011,3,8.0,0.0
2011,4,7.0,1.0
2011,5,8.0,0.0
2011,6,14.0,0.0
2011,7,27.0,0.0
2011,8,27.0,0.0
2011,9,26.0,0.0
2011,10,24.0,3.0
2011,11,23.0,3.0
2011,12,23.0,4.0
2012,1,27.0,4.0
2012,2,26.0,3.0
2012,3,27.0,4.0
2012,4,29.0,1.0
2012,5,29.0,2.0
2012,6,25.0,5.0
2012,7,20.0,11.0
2012,8,18.0,13.0
2012,9,20.0,10.0
2012,10,26.0,5.0
2012,11,16.0,14.0
2012,12,20.0,11.0
2013,1,28.0,3.0
2013,2,25.0,3.0
2013,3,30.0,1.0
2013,4,27.0,3.0
2013,5,29.0,0.0
2013,6,30.0,0.0
2013,7,31.0,0.0
2013,8,31.0,0.0
2013,9,29.0,1.0
2013,10,31.0,0.0
2013,11,29.0,1.0
2013,12,29.0,2.0
2014,1,31.0,0.0
2014,2,28.0,0.0
2014,3,31.0,0.0
2014,4,30.0,0.0
2014,5,30.0,1.0
2014,6,30.0,0.0
2014,7,31.0,0.0
2014,8,31.0,0.0
2014,9,30.0,0.0
2014,10,30.0,1.0
2014,11,30.0,0.0
2014,12,31.0,0.0
2015,1,31.0,0.0
2015,2,28.0,0.0
2015,3,31.0,0.0
2015,4,30.0,0.0
2015,5,31.0,0.0
2015,6,30.0,0.0
2015,7,30.0,1.0
2015,8,31.0,0.0
2015,9,30.0,0.0
2015,10,30.0,1.0
2015,11,28.0,2.0
2015,12,31.0,0.0
